Data Inicio,Mês,Ano,Atividade,Tipo de atividade,Detalhamento,Categoria,N° de participantes participantes,Modalidade,ESTADO,Participantes_limpo,Data_inicio
20/03/2025,março ,2025,Ação interna,Desenvolvimento interno,"Desmistificando Processos Seletrivos - O Crea Jr-MG Núcleo Diamantina realizou uma capacitação interna com foco em Processo Seletivo, com o objetivo de preparar os membros para atuar de forma mais estratégica e consciente durante essa etapa fundamental do Núcleo. A atividade aconteceu de forma online e contou com a participação da maioria dos membros, promovendo um momento de aprendizado sobre como se portar em um processo seletivo, quais boas práticas adotar e como conduzir e gerir uma equipe durante esse período. Foram abordados temas como organização, clareza na comunicação, postura profissional e critérios de avaliação. O objetivo principal da capacitação foi plenamente alcançado, como evidenciado pelas perguntas dos participantes e pelos feedbacks recebidos ao final do encontro. A ação foi especialmente relevante, já que o Núcleo se encontra com processo seletivo aberto, e o conteúdo trabalhado contribuiu diretamente para a condução eficiente e estruturada dessa etapa.",Nucleo,20,Online,Minas Gerais,20.0,2025-03-20
20/03/2025,março ,2025,Ação interna,Desenvolvimento interno,"1º Fórum Financeiro do Crea Jr-MG - No dia 20 de março de 2025, foi realizado com grande entusiasmo o 1º Fórum Financeiro do Crea Jr-MG, promovido pela Comissão Estadual Financeira. O evento ocorreu de forma online, via Google Meet, e reuniu membros das Coordenadorias Financeiras de diversos Núcleos e Regionais. O Fórum foi ministrado por Silvano Oliveira, que compartilhou seu conhecimento e experiência com temas fundamentais como fluxo de caixa, inventário patrimonial, prestação de contas e estratégias para captação de recursos. A atividade teve como objetivo fortalecer a atuação da área financeira dentro da rede, promovendo boas práticas e o alinhamento dos processos entre os Núcleos. O encontro foi um momento valioso de troca de experiências, esclarecimento de dúvidas e incentivo à padronização da gestão financeira, contribuindo para o desenvolvimento de uma cultura organizacional baseada na transparência, planejamento e responsabilidade.",Estadual,20,Online,Minas Gerais,20.0,2025-03-20
22/03/2025,março ,2025,Ação interna,Desenvolvimento interno,"MIPI e Regimento Interno - Guia de excelência operacional - No dia 22 de março de 2025, foi realizada uma capacitação interna com foco no Manual de Instruções e Procedimentos Internos (MIPI) e no Regimento Interno do Crea Jr-MG. Durante a capacitação, foram apresentadas e discutidas as principais normas, diretrizes e obrigações que regem o funcionamento do programa, proporcionando uma manhã enriquecedora de aprendizado e orientação. O principal objetivo do evento foi instruir os membros sobre os procedimentos operacionais, garantindo que todos compreendam suas responsabilidades e saibam como aplicar corretamente as diretrizes estabelecidas. Além disso, a capacitação buscou esclarecer dúvidas e reforçar a importância do cumprimento das regras para um ambiente organizacional mais eficiente, colaborativo e alinhado aos princípios do Crea Jr-MG.",Nucleo,15,Online,Minas Gerais,15.0,2025-03-22
25/03/2025,março ,2025,Ação externa,Ciclo de Palestras,"Manual do calouro - A atividade teve como objetivo principal auxiliar os calouros em sua adaptação à vida universitária, com foco especial em estratégias de gestão de tempo. Durante 1 hora e 40 minutos, os participantes receberam orientações sobre organização, produtividade e equilíbrio entre as demandas acadêmicas e pessoais. A programação começou com uma breve cerimônia de abertura, seguida por duas palestras complementares. A primeira, ministrada por Luana, abordou métodos eficientes de planejamento e técnicas para evitar a procrastinação. Já a segunda palestra, conduzida por Ana, apresentou ferramentas práticas e dicas para otimizar a rotina universitária, incluindo o uso de aplicativos e a importância de estabelecer prioridades. O evento foi encerrado com um espaço para perguntas, após cada palestra.",Nucleo,25,Online,Minas Gerais,25.0,2025-03-25
26/03/2025,março ,2025,Ação externa,Curso,"Engenharia da Carreira: Estratégias para a Entrevista Perfeita - O Crea Jr-MG realizou um curso voltado para alunos e a comunidade externa, com o objetivo de ajudar os participantes a se destacarem em entrevistas de emprego e aumentarem suas chances de sucesso. Ministrado por Betânia Machado, CEO da BM Vagas de Ouro Fino/MG, o curso abordou as principais atitudes e comportamentos que os recrutadores valorizam durante o processo seletivo. Com dicas práticas sobre como se portar, como responder perguntas com segurança e como demonstrar suas habilidades de forma autêntica, os participantes aprenderam a melhorar sua postura, comunicação e confiança, tornando-se mais preparados para enfrentar entrevistas de emprego com maior assertividade.",Nucleo,22,Presencial,Minas Gerais,22.0,2025-03-26
27/03/2025,março ,2025,Ação externa,Palestras,"Competências, Inovação e Propósito na Construção de Carreiras Sustentáveis - Na Engenharia, a construção de carreiras sustentáveis exige que os profissionais desenvolvam competências técnicas, gerenciais e socioambientais. As competências técnicas garantem a qualidade dos projetos, enquanto as habilidades gerenciais são essenciais para a liderança e a execução de projetos complexos. Além disso, a consciência ambiental é fundamental para que os engenheiros possam contribuir para soluções que respeitem o meio ambiente. A inovação desempenha um papel crucial, pois é por meio dela que surgem novas tecnologias e soluções que atendem à demanda por sustentabilidade. Profissionais que buscam inovação estão mais aptos a resolver desafios modernos, como a preservação dos recursos naturais e a adaptação a mudanças climáticas. O propósito na carreira é igualmente importante, pois ter um objetivo claro e ético, alinhado com valores sustentáveis, motiva os profissionais a criar um impacto positivo na sociedade e no meio ambiente, tornando suas trajetórias mais significativas e duradouras.",Nucleo,30,Presencial,Minas Gerais,30.0,2025-03-27
27/03/2025,março ,2025,Ação externa,Seminários,"1ª Conferência Agropecuária do Norte de Minas - O Crea Jr-MG Núcleo Januária teve a honra de participar ativamente da organização da 1ª Conferência Agropecuária do Norte de Minas – ASPRONORTE, a convite do Sindicato Rural de Januária. O evento ocorreu no dia 27 de março de 2025, no Parque de Exposições Astério Itabayana, reunindo um público expressivo de 1200 pessoas. O principal objetivo da conferência foi promover um amplo debate sobre os desafios e oportunidades do setor agropecuário no Norte de Minas, fortalecendo a representação dos produtores rurais e permitindo a troca de conhecimento entre autoridades, empresários e especialistas. O evento buscou encaminhar soluções para demandas do setor e incentivar políticas que impulsionem o desenvolvimento agrícola e pecuário da região.",Nucleo,1.200,Presencial,Minas Gerais,1.2,2025-03-27
27/03/2025,março ,2025,Ação interna,Desenvolvimento interno,"Comunicação Assertiva - No dia 27/03/2025, o Crea Jr-MG Núcleo Diamantina realizou uma capacitação online sobre ""Comunicação Assertiva"", com o objetivo principal de melhorar essa característica nos membros presentes. O ex-membro Gustavo foi o responsável por ministrar essa capacitação, onde, por meio de exemplos práticos, ele mostrou como aplicar a assertividade no mercado de trabalho, no Núcleo e até mesmo na vida pessoal. O Núcleo aproveitou muito a capacitação e aprimorou ainda mais essa habilidade, que já estava presente em todos os membros.",Nucleo,15,Online,Minas Gerais,15.0,2025-03-27
28/03/2025,março ,2025,Ação externa,Palestras,"Desbravando caminhos: mulheres nas Engenharias e Geociências - No dia 27 de março de 2025, o Crea Jr-MG promoveu a palestra ""Desbravando Caminhos: Mulheres nas Engenharias e Geociências"", ministrada por Marina Barbosa, meteorologista e ex-membro do Crea Jr-MG Núcleo Itajubá. Durante o encontro, Marina compartilhou com os membros dirigentes suas vivências no programa e sua trajetória no mercado de trabalho, destacando os desafios e conquistas enquanto mulher em áreas majoritariamente masculinas. A palestra proporcionou momentos de inspiração, troca de experiências e valorização da representatividade feminina nas engenharias e geociências, reforçando a importância de espaços de diálogo sobre equidade e protagonismo feminino no ambiente profissional.",Estadual,38,Online,Minas Gerais,38.0,2025-03-28
28/03/2025,março ,2025,Ação externa,Palestras,"Engenharia em ação: conhecendo o Crea Jr-MG - A atividade foi realizada especialmente para os calouros dos cursos de Engenharia da universidade, com o objetivo de apresentar o Crea Jr-MG e transmitir aos ingressantes as informações básicas sobre o programa, além de promover uma introdução aos Conselhos que atuarão em sua futura profissão. A iniciativa buscou aproximar os novos estudantes do Sistema profissional desde o início da graduação, destacando a importância da participação ativa e do protagonismo jovem no desenvolvimento da engenharia e da valorização da categoria.",Nucleo,63,Presencial,Minas Gerais,63.0,2025-03-28
29/03/2025,março ,2025,Ação externa,Palestras,"Descomplicando processos: plano de ação e mitigação de riscos - Na manhã do dia 29 de março de 2025, o Crea Jr-MG Núcleo Sete Lagoas promoveu uma palestra enriquecedora no UNIFEMM com a presença da engenheira Roberta Porto, vice-presidente da ENGECOOP-MG. Com o tema ""Descomplicando Processos"", Roberta compartilhou sua experiência e trouxe insights valiosos sobre como otimizar processos, reduzir falhas e aumentar a eficiência por meio de estratégias práticas. A palestra abordou conceitos fundamentais de planejamento, padronização e melhoria contínua, temas essenciais para os futuros profissionais das Engenharias, Agronomia e Geociências.",Nucleo,6,Presencial,Minas Gerais,6.0,2025-03-29
29/03/2025,março ,2025,Ação externa,Treinamento,"Ferramentas de IA - No dia 29 de março de 2025, o Crea Jr-MG Núcleo Januária realizou um treinamento com a temática voltada para ferramentas que utilizam Inteligência Artificial (IA). A IA tem revolucionado diversos setores, tornando processos mais eficientes e otimizando a tomada de decisões. Pensando nisso, a capacitação teve como objetivo proporcionar aos participantes um treinamento introdutório sobre o tema, abordando seus principais conceitos, aplicações e ferramentas que podem ser utilizadas para aprimorar fluxos de trabalho e aumentar a produtividade. A atividade foi uma excelente oportunidade para que os membros pudessem se atualizar e explorar como a tecnologia pode ser aplicada de forma estratégica em suas rotinas acadêmicas e profissionais.",Nucleo,12,Online,Minas Gerais,12.0,2025-03-29
29/03/2025,março ,2025,Ação externa,Minicurso,"Build Revit: construindo conhecimento - O Crea Jr-MG Núcleo Teófilo Otoni promoveu o minicurso “Build Revit – Construindo Conhecimento”, realizado na Faculdade AlfaUnipac, na cidade de Teófilo Otoni. A atividade foi direcionada aos alunos do curso de Engenharia Civil, com o objetivo de apresentar os conceitos básicos do software Autodesk Revit, ferramenta amplamente utilizada no mercado da construção civil e essencial para a metodologia BIM (Modelagem da Informação da Construção). Durante o minicurso, os participantes tiveram a oportunidade de desenvolver habilidades práticas em modelagem tridimensional, edição de componentes arquitetônicos, criação de plantas, cortes e elevações detalhadas, além da renderização e apresentação visual de projetos. Também foram abordados conceitos sobre a personalização de famílias no Revit e a integração com outros softwares, ampliando a visão dos alunos sobre o uso estratégico da ferramenta em ambientes acadêmicos e profissionais.",Nucleo,30,Presencial,Minas Gerais,30.0,2025-03-29
29/03/2025,março ,2025,Ação externa,Semana de engenharia,"Seminário Start: Liderança e Desenvolvimento Pessoal – No dia 29/03, em parceria com a empresa Montreal, realizamos o Seminário Start. A proposta do evento era proporcionar aos colaboradores da empresa um momento de incentivo às suas carreiras, promovendo conhecimento e desenvolvimento profissional. Walkiria Totti abriu o seminário com a palestra Tríade do Sucesso Cultural, partilhando sua trajetória pessoal e profissional, destacando os desafios enfrentados e propondo uma reflexão sobre o conceito de sucesso. Em seguida, Rafael Menezes falou sobre sua caminhada até a engenharia, mostrando que o percurso profissional nem sempre é linear. Ressaltou que não há idade certa para encontrar sua vocação e que recomeçar, às vezes, é necessário e válido. Logo após, a coordenadora geral Tatiana Silva e a coordenadora geral adjunta Sarah Vettorazzo apresentaram o Crea-Minas Júnior Núcleo Juiz de Fora, explicando a estrutura organizacional, os eventos realizados e como tudo funciona na prática, despertando grande interesse entre os presentes. Encerrando as palestras, Luís Augusto falou sobre o equilíbrio entre família e trabalho, mostrando como o investimento na convivência familiar refletiu positivamente em sua carreira.",Nucleo,35,Presencial,Minas Gerais,35.0,2025-03-29
29/03/2025,março ,2025,Ação interna,Desenvolvimento interno,"Encontro Estadual das Coordenadorias Financeiras do Crea Jr-MG - No dia 29 de março de 2025, o Crea Jr-MG realizou, por meio da plataforma Google Meet, o Encontro Estadual das Coordenadorias Financeiras 2025. O evento reuniu aproximadamente 35 participantes, entre membros das coordenadorias financeiras dos Núcleos, Coordenadores Gerais de Núcleo, Superintendentes Regionais, Diretores e a Presidência do Crea Jr-MG. Durante o encontro, os membros da Comissão Financeira Estadual conduziram exposições voltadas ao fortalecimento da gestão financeira dos Núcleos, abordando temas como parcerias institucionais, eventos voltados à captação de recursos, padronização de práticas e o estímulo à atuação estratégica no setor financeiro da rede.",Estadual,35,Online,Minas Gerais,35.0,2025-03-29
24/02/2025,fevereiro ,2025,Ação externa,Processo seletivo,"Processo Seletivo 01/2025 Crea Jr-MG Núcleo Conselheiro Lafaiete - O processo seletivo do Crea Jr-MG Núcleo Conselheiro Lafaiete contou com uma grande divulgação por meio de visitas dos Membros Dirigentes nas faculdades UNIPAC e CES-CL com o intuito de esclarecer sobre a atuação do Crea Jr-MG e os benefícios de ser um membro dirigente. Essa divulgação despertou o interesse de 83 pessoas e trouxe para o Núcleo 10 novos membros dirigentes após a triagem dos currículos, dinâmica de grupo e entrevista final. Este processo alavancou o potencial de entrega do Núcleo, preenchendo as coordenações que estavam faltando e dobrando o número de membros.",Nucleo,83,Presencial,Minas Gerais,83.0,2025-02-24
31/03/2025,março ,2025,Ação externa,Palestras,"Mulheres que Transformam: Força, Voz e Inspiração - No dia 31 de março de 2025, o Crea Jr-MG Núcleo Januária realizou o projeto ""Mulheres que Transformam: Força, Voz e Inspiração"", uma iniciativa que visa promover a valorização da mulher, reforçando a importância da autoestima, do empoderamento feminino e da representatividade no setor tecnológico. O evento foi realizado no IFNMG – Campus Januária e contou com uma palestra inspiradora ministrada por Sônia Rodrigues, que compartilhou vivências e aprendizados, promovendo uma rica troca de experiências entre os participantes. A ação teve como foco incentivar a equidade de gênero e fortalecer o protagonismo feminino no mercado de trabalho, especialmente nas áreas da engenharia, agronomia e geociências. Com essa iniciativa, o Crea Jr-MG reafirma seu compromisso com a construção de um ambiente mais diverso, inclusivo e igualitário, contribuindo para a formação de profissionais conscientes do seu papel na transformação da sociedade.",Nucleo,14,Presencial,Minas Gerais,14.0,2025-03-31
31/03/2025,março ,2025,Ação externa,Palestras,"Apresentação institucional na semana do acolhimento do Cefet-Campus Leopoldina - o Crea Jr-MG Núcleo Leopoldina realizou uma palestra de apresentação institucional voltada aos alunos ingressantes dos cursos de Engenharia do Cefet-Campus Leopoldina. A atividade teve como objetivo apresentar o funcionamento do programa aos calouros, explicando sua estrutura, objetivos, e as oportunidades oferecidas aos estudantes de engenharia, agronomia e geociências. Durante a palestra, foram esclarecidas dúvidas sobre o papel do Crea Jr-MG na formação complementar dos futuros profissionais, bem como as formas de ingresso e atuação dentro do Núcleo. A ação teve caráter informativo e integrador, proporcionando aos novos alunos uma visão ampliada sobre o desenvolvimento de competências técnicas, de liderança e engajamento estudantil.",Nucleo,40,Presencial,Minas Gerais,40.0,2025-03-31
31/03/2025,março ,2025,Ação externa,Semana de engenharia,"Engenharia em Foco: Desafios, Conhecimentos e Conexões Acadêmicas - Entre os dias 31 de março e 03 de abril de 2025, foi realizado o evento ""Engenharia em Foco: Desafios, Conhecimentos e Conexões Acadêmicas"", que aconteceu de forma presencial, com transmissão ao vivo via Google Meet no primeiro dia. O evento foi uma oportunidade de integração e aprendizado para alunos, professores e profissionais da área de Engenharia, abordando uma série de temas que estão no centro da realidade acadêmica e profissional dos engenheiros. A programação começou no dia 31 de março, com uma palestra de Leandro Abreu, supervisor regional do Crea-MG, que explicou o funcionamento do Sistema Confea/Crea e da Mútua. Com isso, os participantes puderam entender a importância desses órgãos no contexto da formação e atuação profissional, além de compreender os benefícios oferecidos aos engenheiros por essas entidades. O evento seguiu no dia 1º de abril, quando foi realizada uma roda de conversa com o Centro Acadêmico de Engenharia de Controle e Automação. Essa conversa foi essencial para abordar os desafios enfrentados pelos estudantes durante o curso e as formas de integração entre os discentes, criando um espaço para troca de experiências e ideias. No dia 2 de abril, os Centros Acadêmicos de Engenharia Elétrica e Engenharia de Bioprocessos conduziram palestras sobre suas respectivas áreas, trazendo dois professores da Unifei para compartilhar suas experiências acadêmicas e profissionais. Eles discutiram as perspectivas de futuro, bem como os desafios que os profissionais dessas áreas devem enfrentar, enriquecendo o conhecimento dos alunos com informações valiosas sobre o mercado de trabalho e as inovações tecnológicas. No último dia do evento, 3 de abril, os alunos puderam ouvir de professores da Engenharia Hídrica, que compartilharam suas experiências e falaram sobre os desafios atuais e futuros dessa área fundamental da engenharia. O tema abordado teve grande relevância, considerando a crescente demanda por soluções para o uso sustentável da água e a gestão hídrica. Ao longo de toda a programação, o evento contou com momentos de integração proporcionados pelos coffee-breaks ao final de cada dia. Esses momentos serviram como uma oportunidade para os participantes se conhecerem melhor, discutirem ideias e formarem novas conexões profissionais e acadêmicas. Além disso, foram realizados sorteios de brindes, com a contribuição de 10 patrocinadores, proporcionando uma interação divertida entre os presentes. Durante o evento, também houve breves apresentações do programa Crea Jr-MG, que incluíram informações sobre o processo seletivo do Núcleo Itajubá e sobre os próximos eventos da organização. Esses momentos foram importantes para incentivar os alunos a se envolverem ativamente com o programa e com as oportunidades que o Crea Jr-MG oferece. No total, o evento contou com 150 inscritos, com a participação de 18 membros da organização e o apoio de professores, palestrantes, facilitadores e da Reitoria da UNIFEI.",Nucleo,150,Presencial,Minas Gerais,150.0,2025-03-31
20/03/2025,março ,2025,Ação externa,Treinamento,"Pilares e Aplicações do Marketing - Em março, o Crea Jr-MG Núcleo Itajubá participou de um treinamento de marketing promovido pelo Diretor de Marketing do Crea Jr-MG, Felipe Maia, com o objetivo de aprimorar a comunicação institucional, fortalecer a identidade visual do núcleo e alinhar as estratégias de divulgação com os objetivos da gestão. O encontro abordou temas como planejamento de campanhas, produção de conteúdo para redes sociais, uso de ferramentas digitais e organização de cronogramas, além de contar com atividades práticas e momentos de troca de experiências entre os membros, incentivando a criatividade e a inovação na equipe.",Nucleo,6,Online,Minas Gerais,6.0,2025-03-20
10/03/2025,março ,2025,Ação externa,Processo seletivo,"Processo Seletivo 01/2025 Crea Jr-MG Núcleo Pirapora - O Crea Jr-MG Núcleo Pirapora realizou seu Processo Seletivo com o objetivo de identificar e integrar novos membros dispostos a contribuir com as atividades do programa, fortalecendo a atuação do núcleo na região e promovendo o desenvolvimento pessoal e profissional dos participantes.",Nucleo,10,Online,Minas Gerais,10.0,2025-03-10
19/03/2025,março ,2025,Ação externa,Processo seletivo,"Processo Seletivo 01/2025 Crea Jr-MG Núcleo Ipatinga - O Crea Jr-MG Núcleo Ipatinga realizou o Processo Seletivo “Desafie-se e Cresça, Seja Protagonista na Engenharia” com o objetivo de identificar talentos da área e direcioná-los para oportunidades alinhadas aos seus perfis e potenciais. A programação contou com uma dinâmica de grupo conduzida pelo psicólogo João e seus alunos da Faculdade Única, promovendo interação, escuta ativa, trabalho em equipe e liderança, além de entrevistas individuais que permitiram aos candidatos apresentarem suas habilidades e aspirações. A iniciativa se destacou como um momento de autoconhecimento e desenvolvimento, incentivando os jovens a assumirem o protagonismo de suas trajetórias na engenharia.",Nucleo,5,Presencial,Minas Gerais,5.0,2025-03-19
10/03/2025,março ,2025,Ação externa,Processo seletivo,"Processo Seletivo 01/2025 Crea Jr-MG Núcleo Janaúba - O Processo Seletivo do Crea Jr-MG Núcleo Janaúba contou com etapas como inscrição, dinâmica em grupo e entrevista individual, avaliando o perfil dos candidatos e proporcionando momentos de interação com os membros do núcleo. A iniciativa buscou selecionar estudantes engajados e interessados em desenvolver suas competências profissionais dentro do movimento Crea Jr-MG.",Nucleo,35,Presencial,Minas Gerais,35.0,2025-03-10
11/03/2025,março ,2025,Ação externa,Palestras,"Palestra Institucional sobre o Crea Jr-MG na Faculdade Dom Helder - O Crea Jr-MG Núcleo Belo Horizonte realizou uma apresentação na Dom Helder para cerca de 80 pessoas, distribuídas em três turmas, com ótima recepção por parte dos professores e alunos. A instituição, que possui excelente estrutura e uma das maiores notas do MEC em Engenharia Civil, contou com a participação do Núcleo em um momento de diálogo sobre as oportunidades, benefícios e o apoio oferecido pelo programa aos futuros profissionais, reforçando a importância do engajamento nas atividades para o desenvolvimento acadêmico e profissional.",Nucleo,80,Presencial,Minas Gerais,80.0,2025-03-11
28/02/2025,fevereiro ,2025,Ação externa,Processo seletivo,"Processo Seletivo 01/2025 Crea Jr-MG Núcleo Manhuaçu - O Crea Jr-MG Núcleo Manhuaçu realizou seu Processo Seletivo com etapas que incluíram inscrições online, análise de currículos e entrevistas virtuais conduzidas pela Coordenadora Geral Susanne Martins com apoio de membros do Núcleo. Ao todo, foram registradas 13 inscrições, sendo 9 efetivas, e o processo teve como objetivo selecionar estudantes que atendessem aos requisitos do programa e demonstrassem interesse em contribuir com as atividades do Núcleo.",Nucleo,15,Online,Minas Gerais,15.0,2025-02-28
20/03/2025,março ,2025,Ação externa,Palestras,"Palestra Institucional sobre o Crea Jr-MG na Faculdade Estácio de Sá - O Crea Jr-MG Núcleo Belo Horizonte realizou uma apresentação institucional para os alunos do campus Floresta da Estácio, com o objetivo de apresentar o Crea Jr-MG como uma iniciativa voltada ao desenvolvimento e capacitação profissional dos estudantes de Engenharia. Durante a palestra, foram destacados os projetos realizados, os valores da organização e a importância do fortalecimento dos vínculos com a comunidade acadêmica. Como resultado, surgiu uma parceria entre o Núcleo e a Estácio, ampliando as oportunidades de colaboração e projetos futuros em benefício dos alunos e do programa.",Nucleo,35,Presencial,Minas Gerais,35.0,2025-03-20
11/03/2025,março ,2025,Ação externa,Minicurso,"Criação e Desenvolvimento de Aplicativos - No dia 11 de março de 2025, realizamos o minicurso remoto “Criação e Desenvolvimento de Aplicativos”, ministrado pelo engenheiro John Hendriu, aberto a todos os públicos e focado em introduzir conceitos básicos para o desenvolvimento de apps, desde o planejamento até a validação, com exemplos práticos e apresentação de plataformas acessíveis para iniciantes, promovendo interação, troca de experiências e incentivo à inovação como ferramenta de transformação social e profissional.",Regional,25,Online,Minas Gerais,25.0,2025-03-11
12/02/2025,fevereiro ,2025,Ação externa,Parceria,"Parceria com o SENAR - Em fevereiro, firmamos uma parceria com o SENAR, unindo esforços para oferecer mais oportunidades de aprendizado e desenvolvimento aos nossos jovens. Por meio dessa colaboração, disponibilizaremos cursos, workshops e diversas atividades voltadas para capacitar e preparar a nova geração de profissionais para os desafios do mercado de trabalho.",Nucleo,30,Presencial,Minas Gerais,30.0,2025-02-12
08/04/2025,abril ,2025,Ação externa,Treinamento,"Primeiros Passos com o Google Workspace na Vida Universitária - Os alunos ingressantes de 2025 do curso de Engenharia Elétrica participaram de um treinamento introdutório sobre as ferramentas do Google Workspace, com o objetivo de apresentar recursos digitais que contribuem para maior organização, produtividade e colaboração na rotina acadêmica. Durante a atividade, os estudantes exploraram funcionalidades para gestão de tarefas, trabalho em equipe em tempo real e uso estratégico da tecnologia, reforçando a integração ao ambiente digital da instituição e promovendo uma trajetória universitária mais conectada e eficiente.",Nucleo,6,Presencial,Minas Gerais,6.0,2025-04-08
08/04/2025,abril ,2025,Ação externa,Palestras,"Fale & Conquiste: Comunicação Vencedora para Pitch, Entrevistas e o Mercado de Trabalho - A palestra “Fale & Conquiste: Comunicação Vencedora para Pitch, Entrevistas e o Mercado de Trabalho”, ministrada por Betânia Mafra Kaizer, docente da UNIFEI, teve como objetivo aprimorar as habilidades de comunicação dos participantes, preparando-os para se expressarem com clareza e confiança em entrevistas, apresentações e pitches no mercado de trabalho. O evento foi dinâmico, engajante e proporcionou a oportunidade de esclarecer diversas dúvidas.",Nucleo,110,Presencial,Minas Gerais,110.0,2025-04-08
03/04/2025,abril ,2025,Ação externa,Ação social,"Ação Social - Engenharia do cuidado - Realizamos a ação “Engenharia do Cuidado”, na qual entregamos kits de higiene a um grupo de usuários do CRAS II e promovemos uma conversa sobre a importância do autocuidado, destacando o paralelo com a engenharia, onde planejamento e atenção são essenciais, assim como em nossa vida pessoal. A atividade contou com uma dinâmica em que cada participante escreveu seus projetos para uma vida mais saudável e refletiu sobre as consequências da falta de cuidado consigo. O encontro foi marcado por muita interação, troca de experiências e alegria, encerrando com um lanche de confraternização.",Nucleo,15,Presencial,Minas Gerais,15.0,2025-04-03
08/04/2025,abril ,2025,Ação externa,Palestras,"Mesa redonda - Além do Crea Jr-MG: O impacto da experiência na carreira - O evento teve como foco principal debater o impacto da participação no Crea-Minas Júnior na trajetória profissional dos envolvidos, por meio de uma mesa redonda com egressos do movimento. Os palestrantes compartilharam experiências enriquecedoras, trazendo inspiração e direcionamento para estudantes interessados em fazer parte da iniciativa.",Nucleo,12,Online,Minas Gerais,12.0,2025-04-08
08/04/2025,abril ,2025,Ação externa,Palestras,"Palestra sobre o Sistema Confea/Crea e Mútua - No dia 08 de abril de 2025, o Crea Jr-MG Núcleo Lavras promoveu a palestra “SISTEMA CONFEA/CREA E MÚTUA”, no Anfiteatro do Departamento de Engenharia da UFLA, com a presença do Supervisor Regional do CREA-MG, Leandro William de Abreu. Voltada aos estudantes de Engenharia, Agronomia e Geociências, a atividade apresentou o funcionamento do Sistema CONFEA/CREA e da Mútua, destacando sua importância na regulamentação, fiscalização, valorização e suporte aos profissionais. O evento contou com participação ativa do público, que interagiu e esclareceu dúvidas, fortalecendo o vínculo entre academia e o sistema profissional que os acompanhará ao longo da carreira.",Nucleo,40,Presencial,Minas Gerais,40.0,2025-04-08
08/04/2025,abril ,2025,Ação externa,Parceria,"Parceira com as EJs da Ufla/MG - Para a realização de atividades o Crea Jr-MG–Núcleo Lavras no dia 08 de abril de 2025, foi firmada uma parceria com as empresas juniores da Universidade Federal de Lavras (Constru Jr, Torque Jr, Preserva Jr, Photon Jr e PQ Jr). A colaboração teve como objetivo fortalecer a divulgação e ampliar o alcance dos eventos entre os estudantes de Engenharia, Agronomia e Geociências, por meio de ações nos canais de comunicação e redes sociais dessas entidades. A iniciativa reforçou a integração entre as organizações estudantis, promovendo união de esforços em prol da formação acadêmica e profissional e da valorização das entidades representativas da área tecnológica.",Nucleo,40,Presencial,Minas Gerais,40.0,2025-04-08
10/04/2025,abril ,2025,Ação externa,Palestras,"Conheça o Crea Jr-MG - Durante o encontro, apresentamos o Crea-MG e o Confea, esclarecendo dúvidas sobre suas atribuições e funções, além de destacar os benefícios oferecidos pela Mútua. A atividade contou com dinâmicas interativas para reforçar o conteúdo e, ao final, os participantes receberam um brinde: uma caneta com a logo do núcleo e função touchscreen. Apesar do público reduzido, com seis pessoas presentes na sala, o engajamento foi alto e o evento impactou positivamente, despertando o interesse no programa e no processo seletivo, com muitos demonstrando intenção de se inscrever. Ao todo, registramos 18 inscrições, evidenciando que o alcance superou o público físico.",Nucleo,6,Presencial,Minas Gerais,6.0,2025-04-10
12/04/2025,abril ,2025,Ação externa,Palestras,"O que é o Programa Crea Jr-MG - No dia 12 de abril de 2025, às 10h, foi realizada de forma online a palestra “O que é o Programa Crea Jr-MG”, promovida pelo Crea-Minas Júnior Núcleo Januária e ministrada por Daniela Pereira, presidente do programa. A atividade apresentou a estrutura, os objetivos e a relevância do Crea Jr-MG na formação de jovens líderes e na aproximação dos estudantes das áreas tecnológicas com o mercado de trabalho.",Nucleo,18,Online,Minas Gerais,18.0,2025-04-12
14/04/2025,abril ,2025,Ação externa,Palestras,"Palestra institucional sobre o Sistema Confea/Crea e Mútua - O Crea-Minas Júnior Núcleo Manhuaçu, em parceria com a Faculdade do Futuro, promoveu um evento direcionado aos alunos dos cursos Técnico em Segurança do Trabalho e Técnico em Edificações, com a presença do professor e engenheiro civil Cleberson, da fiscal do Crea-Minas Jéssica Lopes, do engenheiro sanitarista e ambiental Douglas Bertolace, da coordenadora do curso de Agronomia Yaska Janaina e dos agrônomos Tatiane Paulino e Allan Rocha. A palestra foi conduzida pelo supervisor regional do Crea-Minas e engenheiro civil Leandro Abreu, que apresentou o papel do Crea e do Sistema Crea, Confea e Mútua na regulamentação e fiscalização das profissões de engenharia e agronomia no Brasil, destacando a importância dessas instituições para os estudantes das áreas tecnológicas. O evento proporcionou um melhor entendimento sobre o sistema profissional e sua relevância para o mercado.",Nucleo,60,Presencial,Minas Gerais,60.0,2025-04-14
